"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.264684620E0,-8.331604004E-1,4.490814209E-1,1.312637329E0,1.618285245E0
1.269689503E0,-8.656616211E-1,4.192657471E-1,1.263107300E0,1.587637824E0
1.274724903E0,-8.874969482E-1,3.974151611E-1,1.208251953E0,1.550955327E0
1.279729786E0,-8.970794678E-1,3.984832764E-1,1.151260376E0,1.512924633E0
1.284765186E0,-8.960113525E-1,4.240570068E-1,1.094787598E0,1.476895586E0
1.289770069E0,-8.832397461E-1,4.629364014E-1,1.041534424E0,1.441948861E0
1.294805469E0,-8.576660156E-1,4.986267090E-1,9.904022217E-1,1.401826006E0
1.299810352E0,-8.203887939E-1,5.071411133E-1,9.392700195E-1,1.346275622E0
1.304845753E0,-7.756347656E-1,4.959564209E-1,8.891906738E-1,1.279938325E0
1.309850636E0,-7.298278809E-1,4.821014404E-1,8.439178467E-1,1.215429087E0
1.314886036E0,-6.941528320E-1,4.703979492E-1,8.087768555E-1,1.165007462E0
1.319890919E0,-6.765747070E-1,4.618682861E-1,7.805480957E-1,1.131517113E0
1.324926319E0,-6.760406494E-1,4.608001709E-1,7.592315674E-1,1.116154259E0
1.329931202E0,-6.925506592E-1,4.655914307E-1,7.421875000E-1,1.116800824E0
1.334966602E0,-7.234497070E-1,4.773101807E-1,7.288818359E-1,1.132463341E0
1.339971485E0,-7.596588135E-1,5.087432861E-1,7.214202881E-1,1.164623749E0
1.345006886E0,-7.953491211E-1,5.364379883E-1,7.208862305E-1,1.200009540E0
1.350011768E0,-8.262481689E-1,5.641326904E-1,7.294158936E-1,1.238135402E0
1.355047169E0,-8.523406982E-1,6.019439697E-1,7.491149902E-1,1.284521108E0
1.360052052E0,-8.704528809E-1,6.466979980E-1,7.773437500E-1,1.334230049E0
1.365087452E0,-8.795013428E-1,6.903686523E-1,8.103637695E-1,1.380876869E0
1.370092335E0,-8.832397461E-1,7.148742676E-1,8.460540771E-1,1.416673981E0
1.375127735E0,-8.805694580E-1,7.249908447E-1,8.801422119E-1,1.440716700E0
1.380132618E0,-8.677825928E-1,7.255249023E-1,9.041137695E-1,1.448052043E0
1.385168018E0,-8.395538330E-1,7.164611816E-1,9.169006348E-1,1.434877708E0
1.390172901E0,-8.012084961E-1,6.653289795E-1,9.206237793E-1,1.390016492E0
1.395208302E0,-7.585906982E-1,5.476226807E-1,9.115753174E-1,1.306261845E0
1.400213184E0,-7.159881592E-1,3.707885742E-1,8.849334717E-1,1.197176036E0
1.405248585E0,-6.653900146E-1,1.566772461E-1,8.332672119E-1,1.077787492E0
1.410253468E0,-6.014709473E-1,-4.093933105E-2,7.533721924E-1,9.648901437E-1
1.415288868E0,-5.295715332E-1,-1.639709473E-1,6.463165283E-1,8.515031034E-1
1.420293751E0,-4.619140625E-1,-2.119140625E-1,5.211486816E-1,7.279204073E-1
1.425329151E0,-4.123840332E-1,-2.310791016E-1,3.938446045E-1,6.152818171E-1
